epoch,categorical_accuracy,iou,loss,lr,precision,recall,val_categorical_accuracy,val_iou,val_loss,val_precision,val_recall
0,0.8316687345504761,0.26702964305877686,0.17933796346187592,0.00049904943,0.34750181436538696,0.7452702522277832,0.9609951376914978,0.5927147269248962,0.025372641161084175,0.8751723766326904,0.6663722991943359
1,0.9585126042366028,0.546044647693634,0.031265582889318466,0.0005,0.8287796378135681,0.7317208051681519,0.9482387900352478,0.5025244355201721,0.03927069157361984,0.9327890276908875,0.46460607647895813
2,0.9579236507415771,0.5737056732177734,0.029980722814798355,0.0005,0.8248988389968872,0.7335569858551025,0.9625192284584045,0.6603304147720337,0.022129271179437637,0.9567651152610779,0.6159088611602783
3,0.9603553414344788,0.5977099537849426,0.02659534476697445,0.0005,0.8361893892288208,0.7482327818870544,0.9653934240341187,0.6756242513656616,0.019821947440505028,0.9395042061805725,0.662312924861908
4,0.9604166150093079,0.6145712733268738,0.027780141681432724,0.0005,0.8309115171432495,0.7312009930610657,0.9707686901092529,0.6892276406288147,0.022074785083532333,0.8336400389671326,0.847957193851471
5,0.9645183086395264,0.636109471321106,0.024523239582777023,0.0005,0.8374862670898438,0.7532764077186584,0.966035783290863,0.6720872521400452,0.020629266276955605,0.9592577219009399,0.6545249223709106
6,0.9596939086914062,0.6169684529304504,0.026553604751825333,0.0005,0.8349015712738037,0.762607216835022,0.9623651504516602,0.6725649833679199,0.02111409418284893,0.9072350859642029,0.6531677842140198
7,0.9586746096611023,0.6169223189353943,0.027606163173913956,0.0005,0.8292421698570251,0.7593375444412231,0.944364607334137,0.5947247743606567,0.029792381450533867,0.9740257263183594,0.39919739961624146
8,0.9653444886207581,0.6277772188186646,0.023321056738495827,0.0005,0.8458660244941711,0.7722252011299133,0.9743834733963013,0.7158210277557373,0.016489868983626366,0.9133899211883545,0.7937308549880981
9,0.9639646410942078,0.642450749874115,0.02387194335460663,0.0005,0.8466922044754028,0.7717808485031128,0.9720224142074585,0.695246696472168,0.02329171635210514,0.8079196810722351,0.9085131883621216
10,0.962263822555542,0.6348404884338379,0.025482721626758575,0.0005,0.8435636162757874,0.7727329134941101,0.9599261283874512,0.574065625667572,0.02405203878879547,0.8980481624603271,0.6312363743782043
11,0.9644253253936768,0.6511232256889343,0.0238052885979414,0.0005,0.8567322492599487,0.7934197187423706,0.9548695087432861,0.6540286540985107,0.025123056024312973,0.9558712244033813,0.5284009575843811
12,0.9652482867240906,0.6392441391944885,0.022875094786286354,0.0005,0.8389636874198914,0.7608466148376465,0.9514168500900269,0.6457820534706116,0.026623474434018135,0.9668921232223511,0.48258015513420105
13,0.96391761302948,0.6355100274085999,0.023274866864085197,0.0005,0.8423174619674683,0.7719545364379883,0.9549126029014587,0.6596254706382751,0.024831406772136688,0.9755027890205383,0.5174724459648132
14,0.9660772681236267,0.6460744738578796,0.023084301501512527,0.0005,0.8582578897476196,0.8008710145950317,0.9656460881233215,0.7014555335044861,0.020809462293982506,0.9152973294258118,0.6859204769134521
15,0.9694526195526123,0.681928813457489,0.020126769319176674,0.0005,0.8599336743354797,0.8020650744438171,0.9480904340744019,0.5536589026451111,0.03013315238058567,0.8903465867042542,0.48982661962509155
16,0.9668602347373962,0.666090190410614,0.02181393653154373,0.0005,0.8567549586296082,0.7945724129676819,0.9633923768997192,0.7038083076477051,0.021458309143781662,0.9217665195465088,0.6531033515930176
17,0.9660301208496094,0.6640084385871887,0.02222362905740738,0.0005,0.8592367172241211,0.8003292083740234,0.9745643734931946,0.7275535464286804,0.01641015335917473,0.9025191068649292,0.8076950311660767
18,0.9660541415214539,0.6699508428573608,0.02218942902982235,0.0005,0.8553009033203125,0.8075403571128845,0.9700602293014526,0.6948148608207703,0.01925838552415371,0.928398609161377,0.727023720741272
19,0.9709596633911133,0.6973676085472107,0.019308825954794884,5.0000002e-05,0.8834052681922913,0.8256040811538696,0.9735745191574097,0.7317780256271362,0.016041243448853493,0.9188703894615173,0.7782928347587585
