epoch,categorical_accuracy,iou,loss,lr,precision,recall,val_categorical_accuracy,val_iou,val_loss,val_precision,val_recall
0,0.9075788855552673,0.3420000374317169,0.06900522857904434,0.00049904943,0.5220641493797302,0.5416715145111084,0.9420916438102722,0.541143000125885,0.05206213891506195,0.9072213768959045,0.40498867630958557
1,0.9539180994033813,0.5940777659416199,0.03300630673766136,0.0005,0.7966903448104858,0.6882488131523132,0.947516679763794,0.5826811194419861,0.04320760816335678,0.9450011253356934,0.4493427872657776
2,0.952610194683075,0.6235360503196716,0.0337442122399807,0.0005,0.8215720653533936,0.6973367929458618,0.9536643624305725,0.42544206976890564,0.048446960747241974,0.7216860055923462,0.798821747303009
3,0.9621663689613342,0.6586982011795044,0.026524169370532036,0.0005,0.8377839922904968,0.7569637894630432,0.9511129856109619,0.6089339852333069,0.06273216009140015,0.9054107069969177,0.5166987180709839
4,0.9574095010757446,0.6297646164894104,0.02881939709186554,0.0005,0.8265644907951355,0.740705132484436,0.9700989723205566,0.714550793170929,0.02072836272418499,0.8427156209945679,0.8254421949386597
5,0.9618345499038696,0.6613633632659912,0.025050152093172073,0.0005,0.8400803804397583,0.7564218640327454,0.9621796011924744,0.6809455752372742,0.02196294628083706,0.9234026670455933,0.6371998190879822
6,0.9620096683502197,0.6640281081199646,0.025445129722356796,0.0005,0.8314691781997681,0.7335414886474609,0.9598605036735535,0.6816607713699341,0.027325235307216644,0.7198730111122131,0.9148589372634888
7,0.957063615322113,0.6501477360725403,0.02919674851000309,0.0005,0.8361119627952576,0.7482553720474243,0.9094968438148499,0.3680848479270935,1.2054266929626465,0.7296211123466492,0.008486702106893063
8,0.9602594375610352,0.6508546471595764,0.026141855865716934,0.0005,0.8327986001968384,0.7359802722930908,0.9722485542297363,0.7116198539733887,0.018335286527872086,0.9368011355400085,0.7452831864356995
9,0.9625823497772217,0.6665523648262024,0.023796727880835533,0.0005,0.8361586332321167,0.7514857053756714,0.9715263247489929,0.6798455119132996,0.018595941364765167,0.924771785736084,0.7479040026664734
10,0.9632765650749207,0.6786723732948303,0.02447238191962242,0.0005,0.8469319939613342,0.7711012959480286,0.9698875546455383,0.6951786875724792,0.01858578622341156,0.8648998141288757,0.7929112315177917
11,0.9645546674728394,0.6793601512908936,0.022948022931814194,0.0005,0.8432179093360901,0.7720730304718018,0.9726743698120117,0.7289711236953735,0.01872876100242138,0.8942270278930664,0.7935476303100586
12,0.9664444327354431,0.6790249347686768,0.02202465757727623,0.0005,0.8452713489532471,0.7862799167633057,0.9605785608291626,0.6521157622337341,0.022029675543308258,0.9488826990127563,0.5990200042724609
13,0.9672542214393616,0.6986296772956848,0.021293388679623604,0.0005,0.8528077006340027,0.8026052713394165,0.9755567908287048,0.7434462308883667,0.016239488497376442,0.881135880947113,0.8454071283340454
14,0.9642409682273865,0.6910000443458557,0.02393651381134987,0.0005,0.8427172303199768,0.76640784740448,0.9593345522880554,0.6228222846984863,0.02375088818371296,0.9254772067070007,0.601510763168335
15,0.9645424485206604,0.6785781979560852,0.022814681753516197,0.0005,0.8518156409263611,0.7735873460769653,0.9425535798072815,0.6001574397087097,0.033437952399253845,0.9591973423957825,0.38502737879753113
16,0.968392014503479,0.7075865864753723,0.02054130658507347,0.0005,0.8588167428970337,0.8031390905380249,0.9629758596420288,0.7119677066802979,0.02154851146042347,0.7557528614997864,0.8763084411621094
17,0.9666452407836914,0.676659107208252,0.022088458761572838,0.0005,0.8479129076004028,0.7782501578330994,0.9777616858482361,0.7443248629570007,0.015517417341470718,0.8864312767982483,0.8666254878044128
18,0.9657554626464844,0.7107089757919312,0.022021202370524406,0.0005,0.8665874600410461,0.8173359036445618,0.9772835969924927,0.7430184483528137,0.017047515138983727,0.8895202279090881,0.8567485213279724
19,0.9708541035652161,0.71687912940979,0.019422851502895355,0.0005,0.8690235614776611,0.826441764831543,0.9647651314735413,0.6622465252876282,0.021640777587890625,0.9575496315956116,0.6411833763122559
20,0.9702479243278503,0.7004170417785645,0.01963564194738865,0.0005,0.8698517680168152,0.8194597363471985,0.9705795049667358,0.7051660418510437,0.021323353052139282,0.9305585026741028,0.7312292456626892
21,0.9699540138244629,0.708073616027832,0.019264863803982735,0.0005,0.8678598403930664,0.8194217681884766,0.962400496006012,0.6713186502456665,0.020762864500284195,0.96907639503479,0.6061094403266907
22,0.968963086605072,0.70907062292099,0.020316248759627342,0.0005,0.867504358291626,0.822489857673645,0.9728296399116516,0.7396502494812012,0.01708720624446869,0.7990055680274963,0.937129020690918
23,0.9670798778533936,0.6991888284683228,0.021954333409667015,0.0005,0.8541848659515381,0.8127882480621338,0.974993884563446,0.7435027956962585,0.015420864336192608,0.8547494411468506,0.8736346364021301
24,0.9725810289382935,0.7086127996444702,0.018383214250206947,0.0005,0.8753698468208313,0.8304699659347534,0.9753432869911194,0.719831109046936,0.015649762004613876,0.9123722910881042,0.8064720630645752
25,0.9704654812812805,0.7068082690238953,0.019263779744505882,0.0005,0.8778943419456482,0.827316164970398,0.9760239720344543,0.7396826148033142,0.015302245505154133,0.8808473944664001,0.851707935333252
26,0.971203088760376,0.7153698801994324,0.018679723143577576,0.0005,0.8768556714057922,0.8194236159324646,0.977047860622406,0.7575176954269409,0.01519030425697565,0.8711330890655518,0.8775674104690552
27,0.9715428352355957,0.7080540060997009,0.01945185661315918,0.0005,0.8762657642364502,0.8310357928276062,0.9639760851860046,0.7029754519462585,0.020314544439315796,0.9379436373710632,0.6468855738639832
28,0.9729741215705872,0.7148095369338989,0.018574466928839684,0.0005,0.8848454356193542,0.8397542238235474,0.9731876254081726,0.7236083745956421,0.017707573249936104,0.888607382774353,0.8064128756523132
29,0.9733904004096985,0.724494457244873,0.017708411440253258,0.0005,0.888604462146759,0.8293907642364502,0.9759702086448669,0.7341919541358948,0.015614209696650505,0.9462903738021851,0.7801868915557861
30,0.9737623333930969,0.7279596328735352,0.01788960210978985,0.0005,0.8904545307159424,0.8418628573417664,0.9723287224769592,0.7557623386383057,0.01955966278910637,0.7944997549057007,0.938676655292511
31,0.973773181438446,0.7191692590713501,0.018467862159013748,0.0005,0.8843994736671448,0.8332365155220032,0.9789146184921265,0.7704859972000122,0.013609386049211025,0.8862594962120056,0.8813812136650085
32,0.9741771817207336,0.7254018783569336,0.016987036913633347,0.0005,0.888623833656311,0.844478189945221,0.9736033082008362,0.7422940731048584,0.016582967713475227,0.9248143434524536,0.772712767124176
33,0.9748811721801758,0.7258695363998413,0.016726726666092873,0.0005,0.892361044883728,0.8437780141830444,0.9747417569160461,0.7348796725273132,0.015771592035889626,0.939306914806366,0.7723038196563721
34,0.9744130969047546,0.7257270216941833,0.017643872648477554,0.0005,0.8939359784126282,0.8421015739440918,0.9710771441459656,0.7094159722328186,0.017399771139025688,0.8187995553016663,0.8759863376617432
35,0.9742223024368286,0.7285122871398926,0.017621120437979698,0.0005,0.8933161497116089,0.8420631289482117,0.9775713086128235,0.7406378984451294,0.014679746702313423,0.871423065662384,0.8839232325553894
36,0.9751418232917786,0.7352756261825562,0.016658728942275047,0.0005,0.8957772254943848,0.8465327620506287,0.9674595594406128,0.7439678311347961,0.017537930980324745,0.9175431728363037,0.7058016061782837
37,0.9767494201660156,0.737913966178894,0.015622730366885662,0.0005,0.9008505940437317,0.8619413375854492,0.9790906310081482,0.779029369354248,0.013527979142963886,0.8947763442993164,0.8728419542312622
38,0.9756373763084412,0.7382363080978394,0.01627405732870102,0.0005,0.8937520980834961,0.8544501662254333,0.97316575050354,0.7334297299385071,0.016809973865747452,0.9362684488296509,0.756585955619812
39,0.9765232801437378,0.7408902049064636,0.015444431453943253,0.0005,0.8956665396690369,0.8610156178474426,0.975611686706543,0.7577121257781982,0.015401489101350307,0.8401360511779785,0.9039783477783203
40,0.9743496775627136,0.7451797723770142,0.016788285225629807,0.0005,0.8880245685577393,0.8497523069381714,0.9774877429008484,0.7682374715805054,0.014941400848329067,0.8511090874671936,0.9121567010879517
41,0.9744473099708557,0.7489422559738159,0.01663949154317379,0.0005,0.8897443413734436,0.856351375579834,0.9791358709335327,0.7737729549407959,0.01397749874740839,0.8840270638465881,0.8870714902877808
42,0.9774777889251709,0.7598754167556763,0.01499355211853981,5.0000002e-05,0.9038287997245789,0.8723938465118408,0.9801484942436218,0.7764950394630432,0.012842750176787376,0.9133032560348511,0.8638264536857605
43,0.9799783229827881,0.7603700757026672,0.013042479753494263,5.0000002e-05,0.9065163731575012,0.8752887845039368,0.9801419377326965,0.7740523815155029,0.012866334989666939,0.9162477850914001,0.8603997826576233
44,0.978326678276062,0.7525425553321838,0.01405786257237196,5.0000002e-05,0.9096512794494629,0.8786413669586182,0.9810569882392883,0.7810747623443604,0.012332191690802574,0.9140987396240234,0.873935878276825
45,0.9784746766090393,0.7541757822036743,0.014122610911726952,5.0000002e-05,0.907795250415802,0.8749127388000488,0.9811462759971619,0.7840809226036072,0.012283758260309696,0.912184476852417,0.8772433996200562
46,0.9798290729522705,0.7633739709854126,0.013059300370514393,5.0000002e-05,0.909156322479248,0.8776810765266418,0.9808643460273743,0.781153678894043,0.012497172690927982,0.9215178489685059,0.8632093667984009
47,0.9802278876304626,0.7633996605873108,0.012980363331735134,5.0000002e-05,0.9112186431884766,0.8799468278884888,0.9805324077606201,0.7801579833030701,0.012621759437024593,0.921532392501831,0.8592041730880737
48,0.978299617767334,0.7573638558387756,0.014085890725255013,5.0000002e-05,0.9105699062347412,0.8760132193565369,0.9814143776893616,0.7800967693328857,0.012210342101752758,0.905548632144928,0.8884010314941406
49,0.9789072871208191,0.7531486749649048,0.013652610592544079,5.0000002e-05,0.9025266170501709,0.8686335682868958,0.9811786413192749,0.7846968173980713,0.012355039827525616,0.913914680480957,0.8756260275840759
50,0.9800171852111816,0.7712905406951904,0.013140491209924221,5.0000002e-05,0.9142653942108154,0.8771542310714722,0.9806718826293945,0.7813861966133118,0.012502189725637436,0.9100385308265686,0.8739750385284424
51,0.9795145988464355,0.7652193307876587,0.01330386009067297,5.0000002e-05,0.9112332463264465,0.8817282319068909,0.9811568260192871,0.7827596664428711,0.012202339246869087,0.9106160998344421,0.8792086243629456
52,0.9779588580131531,0.7781016826629639,0.014101103879511356,5.0000002e-05,0.914278507232666,0.8752349615097046,0.9810950756072998,0.783265233039856,0.012328154407441616,0.8938001990318298,0.8990526795387268
53,0.9791688323020935,0.7528718709945679,0.013505416922271252,5.0000002e-05,0.905558168888092,0.867377519607544,0.9811281561851501,0.7848296165466309,0.012355334125459194,0.9017923474311829,0.8894578814506531
54,0.9794944524765015,0.763638973236084,0.013169169425964355,5.0000002e-05,0.9143857955932617,0.8780351281166077,0.980828583240509,0.7841625213623047,0.01254319492727518,0.8999913930892944,0.8879768252372742
55,0.9809069037437439,0.7678647637367249,0.012258683331310749,5.0000002e-05,0.9125970005989075,0.8838992118835449,0.9810975193977356,0.7890775799751282,0.01239976566284895,0.8962979912757874,0.8959156274795532
56,0.9794682860374451,0.7680454850196838,0.012989465147256851,5.0000002e-05,0.9147369265556335,0.8824375867843628,0.9813069701194763,0.787091076374054,0.012330099008977413,0.8982290625572205,0.8960881233215332
57,0.9798135757446289,0.7734735608100891,0.013116697780787945,5.0000002e-05,0.9156545996665955,0.8778714537620544,0.980907142162323,0.7828519940376282,0.012597142718732357,0.9084897637367249,0.8786700367927551
58,0.9812043905258179,0.7610228657722473,0.012328028678894043,5.0000002e-05,0.915614664554596,0.8810763359069824,0.9805523753166199,0.782020628452301,0.012777457013726234,0.9163562655448914,0.8652458190917969
59,0.9806497693061829,0.7739658355712891,0.01250390149652958,5.0000003e-06,0.9222522974014282,0.8840232491493225,0.981191098690033,0.7837424278259277,0.012368887662887573,0.9117536544799805,0.878289520740509
60,0.9821221232414246,0.76922208070755,0.011567221954464912,5.0000003e-06,0.9216403365135193,0.8850783109664917,0.9815079569816589,0.784605860710144,0.012213888578116894,0.9054328799247742,0.8896871209144592
61,0.9808669686317444,0.7787477970123291,0.012342780828475952,5.0000003e-06,0.9101781249046326,0.8797152042388916,0.981343686580658,0.7847406268119812,0.012278375215828419,0.910711944103241,0.8813682198524475
